feature,importance
stars,0.06862337018245056
days_since_last_commit,0.047038549041144205
forks,0.024121543248604747
open_issues,0.020854752712783572
docs,0.019415733486332222
contributing,0.01297156439717097
repo_age_days,0.012159556102024897
documentation,0.010552525416326874
bash,0.009415507169783432
install,0.009313369567296326
img,0.009043432638006619
features,0.008722703652567413
src,0.008712087860083541
href,0.008589144351878231
md,0.008513322368661062
source,0.008307301563879311
import,0.007475124584590011
pypi,0.007416473458252589
main,0.007052321577682926
support,0.006578954026428362
latest,0.00626150440842273
api,0.006005238594129604
guide,0.005922466829164061
ai,0.005732454477643194
run,0.005562215829601968
license,0.005427779054574988
community,0.005229230263663826
https,0.005198901397865095
readme_size,0.0050267415950887104
alt,0.004934120200963865
width,0.004860533134314518
pip,0.004744926616386293
installation,0.004627000356029113
development,0.004464745848920753
open,0.004348501780724429
project,0.004235226343296603
built,0.0041934498827795276
use,0.00415615370396508
edu,0.0041087325585563985
http,0.004047688171750035
releases,0.0036810302798176075
align,0.003500393494995584
py,0.0034117043132432757
github,0.0033932156832355976
com,0.003367379987121025
assets,0.0033046946039783113
version,0.0032821814675582745
png,0.0032384356774662827
issues,0.003225058271378964
org,0.0031373336060601764
center,0.0030337622413064815
div,0.002946885508610545
www,0.0029467724220883507
platform,0.0029332580014112862
python,0.002920056610556112
image,0.0028421789240508084
learning,0.0028189304170822107
used,0.0027909117460898714
linux,0.0027877450730037605
supported,0.002780630693557482
started,0.002765504712145695
examples,0.0027024560041609457
code,0.0026212971934604164
readme,0.002603801749557903
learning,0.0025800629893679428
data,0.0025348383635390363
start,0.0025293721080785004
details,0.002518131428452179
machine,0.0025134275362458974
ai,0.002469117728062925
build,0.002429656769329696
networks,0.0024086057718587803
example,0.0023436350671651963
en,0.002341458926814638
io,0.0023274224963457293
using,0.002326367674870281
new,0.002296034296692464
url,0.0022953551681101354
master,0.0022722831661973874
google,0.0022605140765626225
provides,0.002258569063824902
svg,0.0022294323562827133
results,0.0022199165072709793
blob,0.0022020600970039596
windows,0.0021841548779469562
apache,0.0021821971194201607
docker,0.002153170604343639
download,0.0021404939613223657
model,0.002120214159936984
training,0.0020853383265879637
set,0.002071493811110157
file,0.002061979548452697
based,0.0020617665283369406
deep,0.0020520533415851784
repository,0.0020393561390373294
core,0.0020239282318594842
following,0.0020188479361386
check,0.002017931211192613
available,0.0020130793922951747
work,0.0019994469851669842
tensorflow,0.0019970006990008694
dev,0.001967193831640084
githubusercontent,0.0019482860136277216
2018,0.001936301569901925
10,0.001930559264364335
add,0.0019256306903791965
llm,0.0019230253814363051
deep,0.0019213660946172239
package,0.0019132957009683233
user,0.0018844764096123323
custom,0.0018822906958797247
height,0.0018695792747783085
html,0.0018555224434392845
pdf,0.0018550928114214305
prompt,0.0018524577724446706
git,0.001838226091416475
