full_name,has_readme,readme_size,has_ci,has_tests
aleju/imgaug,True,83811.0,True,False
horovod/horovod,True,16441.0,True,False
BlinkDL/RWKV-LM,True,61133.0,False,False
GeeeekExplorer/nano-vllm,True,2185.0,False,False
davisking/dlib,True,3535.0,True,False
microsoft/nni,True,17395.0,True,False
jindongwang/transferlearning,True,23013.0,False,False
davidsandberg/facenet,True,5784.0,False,False
dmlc/dgl,True,32164.0,True,True
carla-simulator/carla,True,10334.0,True,False
janishar/mit-deep-learning-book-pdf,True,3765.0,False,False
mlfoundations/open_clip,True,45288.0,True,True
wanshuiyin/Auto-claude-code-research-in-sleep,True,200822.0,True,True
microsoft/LoRA,True,14379.0,False,False
Data-Centric-AI-Community/fg-data-profiling,True,19635.0,True,True
apache/tvm,True,3494.0,True,True
Lightning-AI/litgpt,True,31216.0,True,True
NVIDIA/TensorRT,True,19451.0,True,False
tangyudi/Ai-Learn,True,37759.0,False,False
jacobgil/pytorch-grad-cam,True,20457.0,True,True
kmario23/deep-learning-drizzle,True,172711.0,False,False
junyanz/CycleGAN,True,14764.0,False,False
chenyuntc/pytorch-book,True,5623.0,False,False
jina-ai/clip-as-service,True,22328.0,True,True
zalandoresearch/fashion-mnist,True,22711.0,False,False
khangich/machine-learning-interview,True,16550.0,False,False
thuml/Time-Series-Library,True,30580.0,False,False
ritchieng/the-incredible-pytorch,True,66996.0,False,False
sapientinc/HRM,True,7250.0,False,False
alex000kim/nsfw_data_scraper,True,3385.0,False,False
extreme-assistant/CVPR2024-Paper-Code-Interpretation,True,10669.0,False,False
OpenMOSS/MOSS,True,35660.0,False,False
tonybeltramelli/pix2code,True,8014.0,False,False
allenai/allennlp,True,18779.0,True,True
nerfstudio-project/nerfstudio,True,21558.0,True,True
ludwig-ai/ludwig,True,17972.0,True,True
speechbrain/speechbrain,True,23162.0,True,True
tensorzero/tensorzero,True,17963.0,True,False
Jack-Cherish/PythonPark,True,38660.0,False,False
milesial/Pytorch-UNet,True,7466.0,True,False
hoya012/deep_learning_object_detection,True,61553.0,False,False
lucidrains/DALLE2-pytorch,True,44741.0,True,False
kornia/kornia,True,19419.0,True,True
salesforce/LAVIS,True,20118.0,True,True
wandb/wandb,True,6475.0,True,True
apple/turicreate,True,7305.0,False,False
rushter/MLAlgorithms,True,1870.0,True,False
aws/amazon-sagemaker-examples,True,11393.0,False,False
lengstrom/fast-style-transfer,True,7806.0,False,False
fastai/numerical-linear-algebra,True,17083.0,False,False
voxel51/fiftyone,True,19843.0,True,True
huggingface/text-generation-inference,True,14691.0,True,False
triton-inference-server/server,True,14714.0,True,False
lucidrains/denoising-diffusion-pytorch,True,12557.0,True,False
phillipi/pix2pix,True,11477.0,False,False
ultralytics/yolov3,True,19208.0,True,False
openvinotoolkit/openvino,True,12229.0,True,True
autogluon/autogluon,True,11137.0,True,False
Megvii-BaseDetection/YOLOX,True,13314.0,True,True
lexfridman/mit-deep-learning,True,3675.0,False,False
chiphuyen/stanford-tensorflow-tutorials,True,800.0,False,False
skypilot-org/skypilot,True,12695.0,True,True
bigscience-workshop/petals,True,9161.0,True,True
zyddnys/manga-image-translator,True,63021.0,True,False
satellite-image-deep-learning/techniques,True,332927.0,True,False
mozilla/TTS,True,14293.0,False,True
vwxyzjn/cleanrl,True,15222.0,True,True
advimman/lama,True,17454.0,False,False
NVIDIA/cutlass,True,35835.0,True,False
google-deepmind/sonnet,True,11648.0,True,False
OpenMined/PySyft,True,8164.0,True,True
yzhao062/pyod,True,56089.0,True,False
espnet/espnet,True,64485.0,True,False
microsoft/computervision-recipes,True,11086.0,True,True
alexjc/neural-doodle,True,15079.0,False,False
CVHub520/X-AnyLabeling,True,15108.0,True,True
xuebinqin/U-2-Net,True,17846.0,False,False
jadore801120/attention-is-all-you-need-pytorch,True,3666.0,False,False
onnx/models,True,30985.0,True,False
tflearn/tflearn,True,4745.0,False,True
roboflow/notebooks,True,92106.0,True,False
arogozhnikov/einops,True,13384.0,True,False
unit8co/darts,True,64966.0,True,False
huseinzol05/Stock-Prediction-Models,True,12667.0,False,False
PeterL1n/RobustVideoMatting,True,12297.0,False,False
Oneflow-Inc/oneflow,True,7392.0,True,False
FMInference/FlexLLMGen,True,12666.0,False,False
voicepaw/so-vits-svc-fork,True,34643.0,True,True
keras-team/autokeras,True,4090.0,True,False
Hvass-Labs/TensorFlow-Tutorials,True,14209.0,False,False
NirantK/awesome-project-ideas,True,14540.0,False,False
YaoFANGUK/video-subtitle-extractor,True,8977.0,True,False
activeloopai/deeplake,True,18290.0,True,False
eriklindernoren/Keras-GAN,True,8889.0,False,False
evilsocket/pwnagotchi,True,4901.0,False,False
modelscope/modelscope,True,16348.0,True,True
pyro-ppl/pyro,True,4629.0,True,True
poloclub/cnn-explainer,True,3303.0,True,False
dusty-nv/jetson-inference,True,27140.0,False,False
lazyprogrammer/machine_learning_examples,True,7311.0,False,False
amusi/Deep-Learning-Interview-Book,True,1686.0,False,False
MITDeepLearning/introtodeeplearning,True,2737.0,False,False
bentoml/BentoML,True,9909.0,True,True
Ewenwan/MVision,True,36199.0,False,False
alirezadir/Machine-Learning-Interviews,True,4961.0,False,False
vahidk/EffectiveTensorflow,True,24479.0,False,False
netease-youdao/EmotiVoice,True,8790.0,False,False
OptimalScale/LMFlow,True,24479.0,True,True
Project-MONAI/MONAI,True,7054.0,True,True
tensorflow/tfjs-core,True,312.0,False,False
lucidrains/imagen-pytorch,True,39648.0,True,False
facebookarchive/caffe2,True,379.0,False,False
google/trax,True,18406.0,True,False
poloclub/transformer-explainer,True,3604.0,True,False
mikel-brostrom/boxmot,True,12020.0,True,True
shenweichen/DeepCTR,True,12678.0,True,True
jaywalnut310/vits,True,3664.0,False,False
mrdbourke/machine-learning-roadmap,True,1429.0,False,False
lucidrains/PaLM-rlhf-pytorch,True,13464.0,True,False
stanfordnlp/stanza,True,11369.0,True,False
deeplearning-ai/machine-learning-yearning-cn,True,2495.0,False,False
Kulbear/deep-learning-coursera,True,8884.0,False,False
MingchaoZhu/DeepLearning,True,8465.0,False,False
ahmedbahaaeldin/From-0-to-Research-Scientist-resources-guide,True,27058.0,False,False
AntixK/PyTorch-VAE,True,14559.0,False,True
greyhatguy007/Machine-Learning-Specialization-Coursera,True,24012.0,False,False
1adrianb/face-alignment,True,7384.0,True,False
HIPS/autograd,True,4780.0,True,True
h2oai/h2o-3,True,37713.0,True,True
amusi/awesome-object-detection,True,38952.0,False,False
open-mmlab/mmagic,True,23063.0,True,True
tensorlayer/TensorLayer,True,10732.0,False,True
google-deepmind/lab,True,7322.0,True,False
PaddlePaddle/Paddle-Lite,True,12683.0,False,False
datawhalechina/fun-rec,True,6690.0,False,False
rasbt/python-machine-learning-book-2nd-edition,True,8115.0,False,False
HenryNdubuaku/maths-cs-ai-compendium,True,9283.0,True,False
flwrlabs/flower,True,11686.0,True,False
afshinea/stanford-cs-230-deep-learning,True,2917.0,False,False
OpenNMT/OpenNMT-py,True,8761.0,True,False
SerpentAI/SerpentAI,True,4230.0,False,True
deeppavlov/DeepPavlov,True,8044.0,False,True
PaddlePaddle/models,True,2807.0,False,False
NVIDIA/pix2pixHD,True,7527.0,False,False
amitness/learning,True,64894.0,False,False
pliang279/awesome-multimodal-ml,True,74724.0,False,False
MLEveryday/practicalAI-cn,True,6235.0,False,False
deepchem/deepchem,True,7338.0,True,False
lance-format/lance,True,9595.0,True,False
yenchenlin/DeepLearningFlappyBird,True,6241.0,False,False
Atcold/NYU-DLSP20,True,3676.0,False,False
clearml/clearml,True,15033.0,True,False
amusi/daily-paper-computer-vision,True,6126.0,False,False
dair-ai/ML-Course-Notes,True,10422.0,False,False
ml5js/ml5-library,True,54653.0,True,False
zhangqianhui/AdversarialNetsPapers,True,31676.0,False,False
yandexdataschool/Practical_RL,True,6857.0,False,False
hongleizhang/RSPapers,True,62961.0,False,False
zhouhaoyi/Informer2020,True,13200.0,False,False
SkalskiP/courses,True,8542.0,False,False
faridrashidi/kaggle-solutions,True,6006.0,False,False
flashlight/wav2letter,True,3185.0,False,False
microsoft/nlp-recipes,True,14160.0,False,True
jason718/awesome-self-supervised-learning,True,76752.0,False,False
haifengl/smile,True,23975.0,True,False
mrdbourke/zero-to-mastery-ml,True,6667.0,True,False
tensorflow/serving,True,6053.0,True,False
dragen1860/TensorFlow-2.x-Tutorials,True,2912.0,False,False
multimodal-art-projection/YuE,True,19054.0,False,False
KevinMusgrave/pytorch-metric-learning,True,17133.0,True,True
tensorflow/docs,True,1291.0,True,False
yl4579/StyleTTS2,True,14167.0,False,False
tensorpack/tensorpack,True,4797.0,True,True
Hironsan/BossSensor,True,1383.0,False,True
ufoym/deepo,True,16837.0,True,False
dair-ai/Mathematics-for-ML,True,5956.0,False,False
georgezouq/awesome-ai-in-finance,True,36387.0,False,False
opensquilla/opensquilla,True,36438.0,True,True
RangiLyu/nanodet,True,14746.0,True,True
szad670401/HyperLPR,True,10967.0,False,False
mindee/doctr,True,16657.0,True,True
aymericdamien/TopDeepLearning,True,325300.0,False,False
zihangdai/xlnet,True,18415.0,False,False
promptslab/Awesome-Prompt-Engineering,True,95859.0,True,False
lyhue1991/eat_pytorch_in_20_days,True,10326.0,False,False
thtrieu/darkflow,True,11774.0,False,False
amusi/AI-Job-Notes,True,14574.0,False,False
timeseriesAI/tsai,True,14911.0,True,False
Swift-AI/Swift-AI,True,3301.0,False,False
tiny-dnn/tiny-dnn,True,10420.0,False,False
paperswithcode/ai-deadlines,True,5137.0,False,False
OFA-Sys/Chinese-CLIP,True,35601.0,True,False
mrdbourke/tensorflow-deep-learning,True,66208.0,True,False
gorgonia/gorgonia,True,16055.0,True,False
lucidrains/x-transformers,True,102292.0,False,True
dmlc/gluon-cv,True,15366.0,True,True
chainer/chainer,True,4312.0,False,True
ashishps1/learn-ai-engineering,True,10248.0,False,False
youssefHosni/Data-Science-Interview-Questions-Answers,True,5568.0,False,False
Layout-Parser/layout-parser,True,5817.0,True,True
NVIDIA/DALI,True,14546.0,True,False
DeepLabCut/DeepLabCut,True,30204.0,True,True
alexlenail/NN-SVG,True,2127.0,False,False
mlpack/mlpack,True,9233.0,True,False
facebookresearch/mmf,True,2196.0,True,True
lucidrains/DALLE-pytorch,True,28145.0,True,False
Fanghua-Yu/SUPIR,True,9855.0,False,False
hzwer/ECCV2022-RIFE,True,11007.0,False,False
udacity/deep-learning-v2-pytorch,True,11319.0,True,False
zenml-io/zenml,True,14122.0,True,True
mosaicml/composer,True,19684.0,False,True
wb14123/seq2seq-couplet,True,2121.0,False,False
LaurentMazare/tch-rs,True,14941.0,True,True
flashlight/flashlight,True,24657.0,True,False
obss/sahi,True,22171.0,True,True
google-deepmind/graph_nets,True,6566.0,False,False
mbadry1/DeepLearning.ai-Summary,True,5350.0,False,False
ashleve/lightning-hydra-template,True,41778.0,True,True
rasbt/machine-learning-book,True,3611.0,False,False
louisfb01/start-machine-learning,True,31691.0,False,False
roboflow/sports,True,3768.0,False,False
microsoft/SynapseML,True,22340.0,True,False
deep-learning-with-pytorch/dlwpt-code,True,3672.0,False,False
awslabs/gluonts,True,5919.0,True,False
amdegroot/ssd.pytorch,True,7365.0,False,False
sacridini/Awesome-Geospatial,True,227231.0,False,False
tensorspace-team/tensorspace,True,18290.0,True,False
sql-machine-learning/sqlflow,True,6983.0,True,False
ashnkumar/sketch-code,True,5223.0,False,False
mdbloice/Augmentor,True,24987.0,True,True
ZheC/Realtime_Multi-Person_Pose_Estimation,True,5635.0,False,False
open-mmlab/mmaction2,True,25956.0,True,True
naganandy/graph-based-deep-learning-literature,True,22971.0,False,False
AutoGPTQ/AutoGPTQ,True,17582.0,True,True
cmhungsteve/Awesome-Transformer-Attention,True,449074.0,False,False
zuruoke/watermark-removal,True,6008.0,False,False
XiaoMi/mace,True,4885.0,False,False
rasbt/python-machine-learning-book-3rd-edition,True,3200.0,False,False
Nyandwi/machine_learning_complete,True,22093.0,False,False
grobidOrg/grobid,True,16977.0,True,False
dmMaze/BallonsTranslator,True,16559.0,True,True
transcranial/keras-js,True,2337.0,False,False
goq/telegram-list,True,149431.0,False,False
huggingface/deep-rl-class,True,1879.0,True,False
sktime/pytorch-forecasting,True,10515.0,True,True
camel-ai/oasis,True,13795.0,True,False
microsoft/muzic,True,9006.0,False,False
mayocream/koharu,True,19889.0,True,True
minimaxir/textgenrnn,True,12276.0,False,False
fastai/course-v3,True,436.0,False,False
NVIDIA/nccl,True,2905.0,False,False
thunlp/OpenPrompt,True,10125.0,True,False
BoltzmannEntropy/interviews.ai,True,10743.0,False,False
PaddlePaddle/VisualDL,True,24385.0,True,False
KaiyangZhou/deep-person-reid,True,17379.0,False,False
yanshengjia/ml-road,True,21462.0,False,False
liuzhuang13/DenseNet,True,11658.0,False,False
blei-lab/edward,True,2452.0,False,True
deepjavalibrary/djl,True,7010.0,True,False
pytorch/executorch,True,13684.0,True,False
Spandan-Madan/DeepLearningProject,True,5952.0,False,False
idealo/image-super-resolution,True,11024.0,False,True
MegEngine/MegEngine,True,5068.0,True,False
rasbt/reasoning-from-scratch,True,11310.0,True,True
weiaicunzai/pytorch-cifar100,True,8006.0,False,False
pytorch/ignite,True,27795.0,True,True
INTERMT/Awesome-PyTorch-Chinese,True,11677.0,False,False
