timestamp,repo_id,repo_url,stars,forks,open_issues,readme_size,repo_age_days,days_since_last_commit,has_readme,topics_count,probability,prediction,threshold
2026-08-24T15:28:13.733478,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,67043,27307,2129,7676,5851,0,1,5,0.685000,1,0.30
2026-08-24T15:29:20.620733,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,67043,27307,2129,7676,5851,0,1,5,0.685000,1,0.30
2026-08-24T15:32:37.201759,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,67043,27307,2129,7676,5851,0,1,5,0.685000,1,0.30
2026-08-24T15:36:24.854793,pre-commit/pre-commit-hooks,https://github.com/pre-commit/pre-commit-hooks,6667,798,6,9208,4546,6,1,5,0.350000,1,0.30
2026-08-24T18:34:52.765251,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,34,0,1,0,0.285000,0,0.30
2026-08-24T18:37:06.439822,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2084,21,1,0,0.160000,0,0.30
2026-08-24T18:50:14.639741,ruvnet/RuView,https://github.com/ruvnet/RuView,91459,12150,541,69743,443,0,1,20,0.680000,1,0.30
2026-08-24T18:50:14.648301,ruvnet/RuView,https://github.com/ruvnet/RuView,91459,12150,541,69743,443,0,1,20,0.680000,1,0.30
2026-08-24T18:51:12.417130,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2084,21,1,0,0.160000,0,0.30
2026-08-24T18:51:50.186893,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,34,0,1,0,0.285000,0,0.30
2026-08-24T18:51:50.408076,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,34,0,1,0,0.285000,0,0.30
2026-08-24T18:51:50.833821,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,34,0,1,0,0.285000,0,0.30
2026-08-24T18:51:50.993724,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,34,0,1,0,0.285000,0,0.30
2026-08-24T18:56:12.405635,ruvnet/RuView,https://github.com/ruvnet/RuView,91458,12150,541,69743,443,0,1,20,0.680000,1,0.30
2026-08-24T18:56:20.439744,ruvnet/RuView,https://github.com/ruvnet/RuView,91458,12150,541,69743,443,0,1,20,0.680000,1,0.30
2026-08-24T18:56:20.693602,ruvnet/RuView,https://github.com/ruvnet/RuView,91458,12150,541,69743,443,0,1,20,0.680000,1,0.30
2026-08-24T20:01:40.884509,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2084,21,1,0,0.160000,0,0.30
2026-08-24T21:42:39.105570,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2084,21,1,0,0.160000,0,0.30
2026-08-24T22:14:18.588998,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2084,21,1,0,0.160000,0,0.30
2026-08-25T19:01:24.715491,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2085,22,1,0,0.160000,0,0.30
2026-08-25T19:30:25.167849,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2085,22,1,0,0.160000,0,0.30
2026-08-25T19:30:26.771421,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2085,22,1,0,0.160000,0,0.30
2026-08-25T19:30:27.607519,razorpay/go-financial,https://github.com/razorpay/go-financial,317,28,15,20097,2085,22,1,0,0.160000,0,0.30
2026-08-25T19:32:43.118773,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,35,0,1,0,0.285000,0,0.30
2026-08-25T19:34:47.457325,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,35,0,1,0,0.285000,0,0.30
2026-08-28T00:53:53.420875,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T01:06:22.984637,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T01:29:08.230490,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T01:47:27.944141,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T01:49:02.322087,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T10:05:51.704097,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T10:12:06.061336,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T10:24:16.777916,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T10:40:41.951588,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T10:52:32.036120,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T11:19:23.667191,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T15:34:49.692938,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-28T15:36:49.053855,mohit4236b-svg/reposcore,https://github.com/mohit4236b-svg/reposcore,2,0,0,21036,38,0,1,0,0.285000,0,0.30
2026-08-29T19:02:30.916535,octocat/Spoon-Knife,https://github.com/octocat/Spoon-Knife,14000,158909,21112,780,5692,737,1,0,0.155000,0,0.30
2026-08-29T19:05:02.359579,python/cpython,https://github.com/python/cpython,75033,35289,9629,8912,3486,0,1,0,0.575000,1,0.30
2026-08-30T21:04:12.524211,this-repo-definitely-does-not-exist-12345/foo,https://github.com/this-repo-definitely-does-not-exist-12345/foo,0,0,0,0,0,0,0,0,0.000000,0,0.30
2026-08-30T21:17:42.608777,this-repo-definitely-does-not-exist-12345/foo,https://github.com/this-repo-definitely-does-not-exist-12345/foo,0,0,0,0,0,0,0,0,0.000000,0,0.30
2026-08-30T21:18:56.890585,this-repo-definitely-does-not-exist-12345/foo,https://github.com/this-repo-definitely-does-not-exist-12345/foo,0,0,0,0,0,0,0,0,0.000000,0,0.65
